<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.08.16,11:17:00,148.855,148.874,148.855,148.871,44,0,6
2024.08.16,11:18:00,148.872,148.891,148.85,148.881,50,0,6
2024.08.16,11:19:00,148.885,148.888,148.849,148.85,35,0,6
2024.08.16,11:20:00,148.85,148.85,148.817,148.84,57,0,6
2024.08.16,11:21:00,148.84,148.852,148.83,148.839,60,0,5
2024.08.16,11:22:00,148.837,148.838,148.776,148.784,61,0,5
2024.08.16,11:23:00,148.769,148.786,148.746,148.784,79,0,5
2024.08.16,11:24:00,148.785,148.823,148.785,148.823,60,0,5
2024.08.16,11:25:00,148.821,148.824,148.78,148.796,54,0,5
2024.08.16,11:26:00,148.798,148.805,148.789,148.804,65,0,5
2024.08.16,11:27:00,148.804,148.809,148.771,148.791,56,0,5
2024.08.16,11:28:00,148.791,148.794,148.765,148.789,60,0,5
2024.08.16,11:29:00,148.789,148.79,148.738,148.753,71,0,5
2024.08.16,11:30:00,148.758,148.76,148.716,148.744,70,0,5
2024.08.16,11:31:00,148.744,148.754,148.727,148.749,48,0,5
2024.08.16,11:32:00,148.749,148.769,148.736,148.736,47,0,5
2024.08.16,11:33:00,148.736,148.737,148.674,148.699,64,0,5
2024.08.16,11:34:00,148.706,148.708,148.668,148.669,52,0,5
2024.08.16,11:35:00,148.67,148.702,148.656,148.699,65,0,5
2024.08.16,11:36:00,148.7,148.702,148.676,148.694,44,0,5
2024.08.16,11:37:00,148.694,148.704,148.667,148.702,71,0,5
2024.08.16,11:38:00,148.703,148.714,148.684,148.699,44,0,5
2024.08.16,11:39:00,148.702,148.725,148.694,148.725,55,0,5
2024.08.16,11:40:00,148.726,148.751,148.723,148.74,51,0,5
2024.08.16,11:41:00,148.74,148.744,148.728,148.739,58,0,5
2024.08.16,11:42:00,148.74,148.746,148.717,148.718,44,0,5
2024.08.16,11:43:00,148.718,148.729,148.716,148.719,40,0,5
2024.08.16,11:44:00,148.719,148.729,148.703,148.717,39,0,5
2024.08.16,11:45:00,148.715,148.715,148.676,148.687,60,0,5
2024.08.16,11:46:00,148.687,148.687,148.66,148.675,46,0,5
2024.08.16,11:47:00,148.673,148.688,148.661,148.676,57,0,5
2024.08.16,11:48:00,148.676,148.688,148.665,148.685,50,0,5
2024.08.16,11:49:00,148.685,148.709,148.668,148.699,47,0,5
2024.08.16,11:50:00,148.698,148.708,148.674,148.677,40,0,5
2024.08.16,11:51:00,148.666,148.667,148.656,148.656,6,0,5
2024.08.16,11:52:00,148.656,148.695,148.656,148.673,56,0,5
2024.08.16,11:53:00,148.674,148.732,148.674,148.71,50,0,5
2024.08.16,11:54:00,148.709,148.727,148.703,148.718,48,0,5
2024.08.16,11:55:00,148.72,148.739,148.72,148.726,51,0,5
2024.08.16,11:56:00,148.726,148.736,148.709,148.711,32,0,5
2024.08.16,11:57:00,148.711,148.711,148.686,148.704,35,0,5
2024.08.16,11:58:00,148.704,148.736,148.704,148.732,44,0,5
2024.08.16,11:59:00,148.734,148.735,148.702,148.711,40,0,5
2024.08.16,12:00:00,148.711,148.74,148.711,148.734,48,0,5
2024.08.16,12:01:00,148.734,148.756,148.732,148.732,43,0,5
2024.08.16,12:02:00,148.732,148.759,148.721,148.759,27,0,5
2024.08.16,12:03:00,148.759,148.764,148.749,148.755,30,0,5
2024.08.16,12:04:00,148.755,148.759,148.744,148.747,41,0,5
2024.08.16,12:05:00,148.747,148.754,148.74,148.751,39,0,5
2024.08.16,12:06:00,148.752,148.753,148.734,148.744,39,0,5
2024.08.16,12:07:00,148.744,148.744,148.732,148.74,37,0,5
2024.08.16,12:08:00,148.738,148.738,148.715,148.724,33,0,5
2024.08.16,12:09:00,148.724,148.724,148.695,148.702,31,0,5
2024.08.16,12:10:00,148.702,148.702,148.663,148.668,39,0,5
